P : 74634.9
Cargo :99,	z :0.585313,	Path :2C16->3C16->3A21->3A22->3K29->3K30->2K31->2K32->2K33->4K33->4F35->4L37->4I39->4E40-><
Cargo :99,	z :0.0267556,	Path :2C14->3C14->3C15->3C16->3A21->3A22->3K29->3K30->2K31->5K31->5E44->5E45-><
Cargo :101,	z :0.369714,	Path :2D24->3D24->3F37->3F38->2F39->2F40->2F41->2F42->2F43->2F44->4F44->4L46->4K47->4G49-><
Cargo :103,	z :0.369714,	Path :2G1->3G1->3C21->3C22->3G41->3G42->3E44->2E45->4E45->4H46->4B48->4K50->4F52-><
Cargo :103,	z :0.205915,	Path :2G20->3G20->3G21->3E23->3E24->3C36->3C37->3A42->3A43->3K50->2K51->6K51->6F53-><
Cargo :104,	z :0.244459,	Path :2H6->3H6->3C15->3C16->3A21->3A22->3K29->2K30->4K30->4E32->4H33->4B35-><
Cargo :105,	z :0.280056,	Path :2E21->3E21->3E22->3H34->3H35->3B37->3B38->3J46->3J47-><
Cargo :106,	z :0.0152728,	Path :2C14->3C14->3C15->3C16->3A21->3A22->2A23->2A24->3A24->3L29->3L30->3J37->3J38->3J39-><
Cargo :106,	z :0.280056,	Path :2C14->3C14->3C15->3C16->3A21->3A22->2A23->2A24->3A24->3L29->3L30->3J37->3J38-><
Cargo :107,	z :0.280056,	Path :2I16->3I16->3I17->3I18->3H20->2H21->4H21->4B23->4D25->4J27-><
Cargo :108,	z :0.280056,	Path :2I16->3I16->3I17->3E21->3E22->3E23->2E24->4E24->4H25->4B27->4K29->4F31-><
Cargo :108,	z :0.280056,	Path :2I18->3I18->3H20->3H21->2H22->2H23->2H24->2H25->2H26->4H26->4F27->4K29->4F31-><
Cargo :109,	z :0.280056,	Path :2B2->3B2->3L10->3L11->3E22->3H34->3H35->3H36-><
Cargo :109,	z :0.280056,	Path :2B7->0B7->0J16->0J17->0D27->0D28->2D29->2D30->2D31->6D31->6B33->6K35->6H37-><
Cargo :110,	z :0.280056,	Path :2A3->3A3->3L8->3L9->2L10->2L11->6L11->6A13->6I14->6L16-><
Cargo :111,	z :0.280056,	Path :2F15->5F15->5F16->5I23->5I24->5C31->5C32->2C33->2C34->4C34->4H36->4L37-><
Cargo :112,	z :0.280056,	Path :2L9->3L9->3J16->3J17->3J18->3I32->3I33->2I34->2I35->6I35->6L37->6G39->6B40-><
Cargo :113,	z :0.168615,	Path :2E24->3E24->2E25->2E26->4E26->4I27->4A28->4B29->4G30-><
Cargo :114,	z :0,	Path :2H21->3H21->2H22->2H23->2H24->2H25->2H26->2H27->4H27->4L28->4I30->4E31->4I32->4C33-><
Cargo :114,	z :0,	Path :2H25->5H25->2H26->2H27->4H27->4L28->4I30->4E31->4I32->4C33-><
Cargo :114,	z :0,	Path :2H27->4H27->4L28->4I30->4E31->4I32->4C33-><
Cargo :114,	z :0.00213176,	Path :2H20->3H20->3H21->2H22->2H23->2H24->2H25->2H26->2H27->6H27->6C29-><
Cargo :114,	z :0.168615,	Path :2H21->3H21->2H22->2H23->2H24->2H25->2H26->2H27->6H27->6C29-><
Cargo :115,	z :0.166879,	Path :2L21->3L21->2L22->2L23->6L23->6A25->6K27->6F29-><
Cargo :117,	z :0.166879,	Path :2G21->3G21->3E23->3E24->3C36->3C37->3A42->3A43->3K50->2K51->4K51->4E53->4H54->4B56-><
Cargo :117,	z :0.166879,	Path :2G20->3G20->3G21->3E23->3H35->3B37->3B38->3J46->3J47->2J48->6J48->6H50->6B52-><
Cargo :118,	z :0.0468506,	Path :2J26->3J26->3C35->3C36->3C37->3A42->3A43->3K50->3K51->2K52->6K52->6E54->6K56->6L57-><
Cargo :118,	z :0.166879,	Path :2J17->3J17->3F34->3F35->3A43->3K50->3K51->2K52->2K53->2K54->4K54->4F56->4L58-><
Cargo :119,	z :0.166879,	Path :2L24->3L24->3L25->2L26->2L27->4L27->4K28-><
Run time : 3784.74sec. 
